Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
NATHANSON CK - 2ND ST E,NSEC1,38.2925,-122.44945,CNRFC
ENTERPRISE ROAD,NTPC1,38.37285,-122.57195,CNRFC
CITRUS HEIGHTS,NUNC1,38.705,-121.30889,CNRFC
,NUQ,37.41667,-122.05,CNRFC
NOVATO CREEK - NOVATO,NVCC1,38.08472,-122.55666,CNRFC
NOVATO FIRE - ROBINHOOD,NVHC1,38.1125,-122.54972,CNRFC
NOVATO LIBRARY,NVLC1,38.10695,-122.58028,CNRFC
PACHECO/SAN JOSE CREEKS,NVPC1,38.07056,-122.52778,CNRFC
NEWCASTLE,NWCC1,38.87306,-121.13583,CNRFC
SACRAMENTO NAT'L WR,NWRC1,39.41722,-122.1825,CNRFC
,O69,38.25778,-122.60528,CNRFC
OAK RIDGE,OAAC1,38.73333,-123.28972,CNRFC
,OAK,37.72139,-122.21972,CNRFC
OAKLAND MUSEUM,OAMC1,37.79833,-122.26417,CNRFC
,OAR,36.68153,-121.76167,CNRFC
BELMONT CK - EL CAMINO REAL,OCRC1,37.51719,-122.27125,CNRFC
ORINDA FIRE STATION,ODAC1,37.89945,-122.17056,CNRFC
OAKLAND FIRE STATION 25,OFSC1,37.80084,-122.19,CNRFC
COIT RANCH,OITC1,37.15056,-121.41833,CNRFC
OAKLAND SOUTH,OKSC1,37.78611,-122.14472,CNRFC
OLIVE SPRINGS QUARRY,OLSC1,37.06306,-121.92528,CNRFC
OAKLAND NORTH,ONOC1,37.865,-122.22056,CNRFC
COPELAND CK - LICHAU RD,OPKC1,38.33278,-122.62917,CNRFC
ORANGEVALE,ORGC1,38.68694,-121.21917,CNRFC
ORMSBY ROAD,ORMC1,37.06694,-121.82389,CNRFC
ORESTIMBA CREEK,OSMC1,37.17698,-121.39659,CNRFC
CANADA DE LOS OSOS,OSXC1,37.0375,-121.42083,CNRFC
DEER CREEK - SCOTT ROAD,OTTC1,38.55139,-121.10973,CNRFC
,OVE,39.49472,-121.62028,CNRFC
OLEMA VALLEY,OVYC1,38.0425,-122.79583,CNRFC
PALO ALTO,PAAC1,37.43944,-122.10722,CNRFC
ADOBE CK - SARTORI DR,PABC1,38.23639,-122.59667,CNRFC
SHOLLENBERGER PARK,PBEC1,38.22306,-122.60528,CNRFC
POPE CK - BERRYESSA,PBRC1,38.63,-122.33222,CNRFC
PESCADERO CREEK COUNTY PARK,PCCC1,37.28389,-122.27917,CNRFC
CORONA CK - SONOMA MOUNTAIN,PCJC1,38.26833,-122.64916,CNRFC
PETALUMA - CORONA RD,PCRC1,38.26167,-122.66056,CNRFC
PRICHARD LAKE,PDLC1,38.72833,-121.59444,CNRFC
CALAVERAS ROAD,PEAC1,37.55306,-121.84389,CNRFC
PESCADERO,PECC1,37.2608,-122.3278,CNRFC
PENITENCIA WTP,PENC1,37.40056,-121.83278,CNRFC
E WSHNGTN CK - GARFIELD,PEWC1,38.25528,-122.60777,CNRFC
PETRIFIED FOREST,PFRC1,38.57556,-122.63167,CNRFC
INDUSTRIAL BLVD,PGIC1,38.80528,-121.30722,CNRFC
PLEASANT GRV C - RD1000,PGLC1,38.80167,-121.50361,CNRFC
MCPHAILS PEAK,PHAC1,36.64861,-121.36528,CNRFC
BLACK DIAMND MINE,PIBC1,37.95,-121.88444,CNRFC
PIKE COUNTY LOOKOUT,PKCC1,39.475,-121.2025,CNRFC
KELLY CK - SUNNYSLOPE R,PKEC1,38.2225,-122.64056,CNRFC
LK PILLSBURY SCOTT DAM,PLBC1,39.40833,-122.95834,CNRFC
BRIONES,PLEC1,37.93389,-122.11806,CNRFC
LYNCH CK - MCDOWELL BLVD,PLQC1,38.25278,-122.63194,CNRFC
PALM AVENUE,PMHC1,37.17111,-121.7275,CNRFC
ADOBE CK - MANOR LN,PMJC1,38.2658,-122.58195,CNRFC
PALM AND MISSION,PMSC1,37.54194,-121.93389,CNRFC
PUTAH CK - BELOW DRY CREEK,PMWC1,38.75972,-122.61528,CNRFC
PINER CK - HOPPER AVE,PNHC1,38.47972,-122.74084,CNRFC
PINER CREEK DAM,PNKC1,38.46553,-122.70467,CNRFC
POTTER VALLEY DIVERSION,PORC1,39.36667,-123.12639,CNRFC
PACHECO RESERVOIR PRECIP,PPCC1,37.05659,-121.28972,CNRFC
MIDDLE CK - PUMP PLANT,PPMC1,39.13972,-122.90195,CNRFC
PACHEO PASS,PPWC1,37.04889,-121.19055,CNRFC
POINT REYES,PREC1,38.10056,-122.93028,CNRFC
PRAIRIE CITY,PRRC1,38.59222,-121.16167,CNRFC
POINT REYES RCA,PRWC1,38.09417,-122.95,CNRFC
PETALUMA - D ST,PTBC1,38.23306,-122.635,CNRFC
PETALUMA R - TWIN BRIDGES,PTKC1,38.26805,-122.67111,CNRFC
POINT PINOS,PTPC1,36.63333,-121.93111,CNRFC
PETALUMA - WILSON ST,PTWC1,38.23611,-122.62722,CNRFC
PULGAS,PUGC1,37.475,-122.29806,CNRFC
PUTAH DIVERSION OFFICE,PUHC1,38.49139,-122.00555,CNRFC
LA CRESTA,PUMC1,38.21694,-122.65056,CNRFC
POTTER VALLEY 2,PVBC1,39.36167,-123.12722,CNRFC
CONCORD PAVILLION,PVNC1,37.95833,-121.93833,CNRFC
PLEASANT VALLEY,PVYC1,36.98972,-121.83056,CNRFC
WASHNGTN CK - MCDOWELL,PWAC1,38.24944,-122.62583,CNRFC
PEPPERWOOD PRESERVE,PWVC1,38.57056,-122.69389,CNRFC
PILARCITOS DAM,PXDC1,37.54806,-122.4225,CNRFC
POTTER VALLEY CENTRAL,PYCC1,39.32091,-123.10282,CNRFC
SRFD - FIRE STATION 1,QSFC1,38.4403,-122.704,CNRFC
SARATOGA,QSGC1,37.2518,-122.0515,CNRFC
SRFD - HARVILLE ROAD,QSHC1,38.49,-122.662,CNRFC
SRFD - LLANO ROAD,QSLC1,38.3683,-122.768,CNRFC
SRFD - NEWGATE COURT,QSNC1,38.49194,-122.69889,CNRFC
SRFD - LOS ALAMOS ROAD,QSOC1,38.47194,-122.62333,CNRFC
SRFD - WHITE OAK DRIVE,QSWC1,38.42167,-122.59889,CNRFC
RAINBOW DIVERSION DAM,RAOC1,39.37111,-122.605,CNRFC
